343,235902
843,131967
634,504195
430,619674
569,304946
228,332945
564,501665
442,808534
341,377578
424,940128
158,274497
908,099809
269,037050
611,762401
791,253220
1045,893871
453,869225
441,547378
1032,139213
523,062175
498,150734
882,644347
862,069151
215,212129
463,123233
707,129633
716,183821
674,366057
421,170978
731,870236
105,687454
605,331173
169,071308
318,415537
1016,962313
193,076010
873,588597
568,271275
504,028100
694,717883
906,033933
112,023588
891,613367
312,265788
889,014400
383,945270
788,332129
996,050831
1026,447797
798,130349
672,936064
493,816728
117,019018
297,867283
161,338123
656,730986
261,607524
336,874987
188,081443
741,117038
166,815293
469,190022
243,152576
203,496284
119,577568
373,907277
493,515742
276,568317
161,939076
321,640718
88,470458
435,046496
730,431008
801,484644
198,912234
712,805276
1041,084829
270,420076
372,802029
716,584546
798,971053
761,524871
602,627144
96,535336
390,252303
393,010248
95,362264
180,180673
575,091883
657,020661
111,416647
453,903821
841,360421
735,297594
396,279214
584,865552
1001,934735
988,222309
667,050601
716,291472
322,484768
194,416605
335,777261
840,358586
451,995783
79,994413
152,479533
155,450347
694,874868
169,721357
732,992026
448,337856
711,341883
1016,753534
1000,211285
706,884197
561,907385
423,290604
412,072525
365,157766
122,090413
351,392430
475,553041
810,379875
285,131811
841,372817
453,227465
1039,920560
1043,309596
404,597377
357,375724
646,595809
492,564467
1038,177419
296,371561
631,808376
1040,495519
220,964922
989,056269
898,613814
614,387446
993,418502
795,027992
660,581496
463,781983
498,323999
922,254610
417,360643
231,208534
165,017126
568,143802
594,149526
325,039489
56,670191
626,181232
419,805326
270,038395
768,368691
247,473818
127,121599
634,019728
663,117618
985,011804
98,838613
333,141361
163,581394
468,189979
154,241677
603,701742
279,275574
556,104955
773,740924
694,915952
542,092252
700,371728
692,615611
384,995831
1047,455461
811,679619
960,144841
751,961372
354,066626
269,034156
256,635619
240,961796
582,114525
836,607936
988,398408
961,486495
167,987863
160,350030
439,509070
320,697555
382,942956
204,980388
1049,235741
553,217131
903,843064
461,721757
705,297394
443,054320
435,999864
1008,098789
795,660860
549,958231
631,311322
533,359841
645,371399
550,334785
319,305219
256,554202
879,951223
881,967141
374,360496
259,023868
203,189622
742,130471
379,293397
129,045130
54,687112
630,294041
613,659234
973,582397
621,305332
1049,454410
794,534766
790,592998
716,713166
684,245982
428,209855
915,047893
114,509089
359,325595
593,131765
752,810710
1022,938293
348,130731
467,608904
298,742974
523,012614
149,961188
940,195379
998,880761
956,880164
682,436582
196,341310
361,254378
449,580513
946,733060
261,808513
345,898934
974,860712
614,604487
101,514473
971,830683
634,515964
659,044621
1021,882413
767,240151
110,758528
104,548756
805,438566
658,880112
572,406637
208,284388
218,312405
647,602388
668,224952
900,082494
274,459276
149,224783
624,537148
107,012349
914,839207
193,385213
879,269496
667,404099
565,449313
